codigo,nombre,tipo,espesor,placaLargo,placaAncho,precioPlaca,codigoDiac,descripcionDiac
,Eurolight H3406ST38 Alerce Antr,melamina,38,2800,2070,453042,1222216,Eurolight Mel H3406ST38 Alerce Antr38mm2.80x2.07m
,5067 BR,terciado,0.6,1220,3060,78776,1011022506761,Guatambu 5067 BR 0.6 mm. 1.22x3.06 m.
,5067 SM,terciado,0.6,1220,3060,78776,1011022506762,Guatambu 5067 SM 0.6 mm. 1.22x3.06 m.
,5067 TX,terciado,0.6,1220,3060,78776,1011022506763,Guatambu 5067 TX 0.6 mm. 1.22x3.06 m.
,arg. M480 (ex062) BR,terciado,0.6,1250,3080,119733,101101248061,Guatambu arg. M480 (ex062) BR 0.6 mm. 1.25x3.08 m.
,arg. M480 (ex062) SM,terciado,0.6,1250,3080,119733,101101248062,Guatambu arg. M480 (ex062) SM 0.6 mm. 1.25x3.08 m.
,arg. M480 (ex062) TX,terciado,0.6,1250,3080,119733,101101248063,Guatambu arg. M480 (ex062) TX 0.6 mm. 1.25x3.08 m.
,5067 BR,terciado,0.8,1220,3060,111432,1011022506781,Guatambu 5067 BR 0.8 mm. 1.22x3.06 m.
,5067 SM,terciado,0.8,1220,3060,111432,1011022506782,Guatambu 5067 SM 0.8 mm. 1.22x3.06 m.
,5067 TX,terciado,0.8,1220,3060,111432,1011022506783,Guatambu 5067 TX 0.8 mm. 1.22x3.06 m.
,arg. M480 (ex062) BR,terciado,0.8,1250,3080,133656,101101248081,Guatambu arg. M480 (ex062) BR 0.8 mm. 1.25x3.08 m.
,arg. M480 (ex062) SM,terciado,0.8,1250,3080,133656,101101248082,Guatambu arg. M480 (ex062) SM 0.8 mm. 1.25x3.08 m.
,arg. M480 (ex062) TX,terciado,0.8,1250,3080,133656,101101248083,Guatambu arg. M480 (ex062) TX 0.8 mm. 1.25x3.08 m.
,Fibroench,terciado,3,2600,1830,78090.3,20120518326040,Fibroench Guatambu 3mm 2.60x1.83m  LN
,Mes.sint. HD/HWTx,terciado,10,1250,3080,3299620,1011019480103,Mes.sint.Guatambu HD/HW10mmTx1.25x3.08m
,Ench Aglom,terciado,13,2600,1830,101799,201205260183013,Ench Aglom Guatambu 13mm 2.60x1.83m LN
,Ench Aglom,terciado,16,2600,1830,136377,201205260183016,Ench Aglom Guatambu 16mm 2.60x1.83m LN
,Ench Aglom,terciado,19,2600,1830,146355,201205260183019,Ench Aglom Guatambu 19mm 2.60x1.83m LN
,Ench Aglom,terciado,26,2600,1830,180948,201205260183026,Ench Aglom Guatambu 26mm 2.60x1.83m LN
