codigoEgger,nombreEgger,categoria,tipo,espesor,codigoDiac,descripcionDiac,precio
U763 ST9,Gris Perla,egger-unicolores,melamina,18,1419247,EDK AGL U763ST9 G Perla 18mmx2.60m  1419247,94928.8
U763 ST9,Gris Perla,egger-unicolores,mdf,18,1419737,EDK MDF U763ST9 G Perla 18mmx2.60m1419737,122408
U767 ST9,Gris Cubanita,egger-unicolores,melamina,18,1419237,EDK AGL U767ST9 G Cubanita 18mm x2.60 1419237,94928.8
U767 ST9,Gris Cubanita,egger-unicolores,mdf,18,1419896,EDK MDF U767ST9 G Cubanita 18mmx2.60m1419896,122408
U775 ST9,Gris Bruma,egger-unicolores,mdf,18,1419889,EDK MDF U775ST9 G Bruma 18mmx2.60m1419889,122408
U963 ST9,Gris Sombra,egger-unicolores,melamina,18,1419217,EDK AGL U963ST9 G Sombra 18mmx2.60m 1419217,94928.8
U963 ST9,Gris Sombra,egger-unicolores,mdf,18,1419882,EDK MDF U963ST9 G Sombra 18mmx2.60m1419882,122408
U999 ST19,Negro,egger-unicolores,mdf,18,1419924,EDK MDF U999ST19 Negro V 18mmx2.60m1419924,135853
U999 ST9,Negro,egger-unicolores,melamina,18,1419425,EDK AGL U999ST9 Negro 18mmx2.60m1419425,94928.8
U999 ST9,Negro,egger-unicolores,mdf,18,1419875,EDK MDF U999ST9 Negro 18mmx2.60m1419875,122408
W1100 ST9,Blanco Alpino,egger-blancos,melamina,18,1419265,EDK AGL W1100ST9 Blanco alpino 18mm 2.60m 1419265,100177
W1100 ST9,Blanco Alpino,egger-blancos,mdf,18,1419768,EDK MDF W1100ST9 B Alpino 18mmx2.60m1419768,131729
W954 SM,Blanco,egger-blancos,melamina,18,1419275,EDK AGL W954SM Blanco laca 18mmx2.60 1419275,109490
W954 ST14,Blanco,egger-blancos,melamina,18,1564383,EDK AGL W954ST14 Blanco 18mmx2.50m1564383,84431.8
W954 ST14,Blanco,egger-blancos,mdf,18,141978202,EDK MDF W954ST14 Blanco 18mmx2.60m 2da.141978202,97740.1
